Last name,First name,Full name,Countries,born,died
Freymann,Sergey von,Sergey von Freymann,"Russia,Uzbekistan",1882,1946
Brynell,Stellan,Stellan Brynell,Sweden,1962,
Agrest,Evgeny,Evgeny Agrest,"Belarus,Sweden",1966,
Flatow,Alfred,Alfred Flatow,"Germany,Australia",1937,
Vistaneckis,Isakas,Isakas Vistaneckis,"Lithuania,Israel",1910,2000
Morozevich,Alexander,Alexander Morozevich,Russia,1977,
Wade,Robert,Robert Wade,"New Zealand,England",1921,2008
Mont,Julius du,Julius du Mont,"France,England",1881,1956
Rashkovsky,Nukhim,Nukhim Rashkovsky,Russia,1946,
Howell,James,James Howell,England,1967,
Todorcevic,Miodrag,Miodrag Todorcevic,"Serbia,France",1940,
Yin,Hao,Yin Hao,China,1979,
Larsen,Bent,Bent Larsen,Denmark,1935,2010
Wagner,Alexander,Alexander Wagner,Poland,1868,1942
Haussernot,Cécile,Cécile Haussernot,France,1998,
Stamm,Wilhelm von,Wilhelm von Stamm,Latvia,?,1905
Cortlever,Nicolaas,Nicolaas Cortlever,Netherlands,1915,1995
Greenfeld,Alon,Alon Greenfeld,"US,Israel",1964,
Rublevsky,Sergei,Sergei Rublevsky,Russia,1974,
Zúpide,Celso Golmayo,Celso Golmayo Zúpide,"Spain,Cuba",1820,1898
Mongredien,Augustus,Augustus Mongredien,England,1807,1888
Timman,Jan,Jan Timman,Netherlands,1951,
Hammer,Jon Ludvig,Jon Ludvig Hammer,Norway,1990,
Evans,William Davies,William Davies Evans,Wales,1790,1872
Nowarra,Heinz,Heinz Nowarra,Germany,1897,c. 1945
Deschapelles,Alexandre,Alexandre Deschapelles,France,1780,1847
Tartakower,Savielly,Savielly Tartakower,"Austria/Poland,France",1887,1956
Kaufmann,Arthur,Arthur Kaufmann,"Romania,Austria",1872,1940
Banikas,Hristos,Hristos Banikas,Greece,1978,
Hort,Vlastimil,Vlastimil Hort,"Czechoslovakia,Germany",1944,
Schmid,Lothar,Lothar Schmid,Germany,1928,2013
Alekhine,Alexei,Alexei Alekhine,Russia,1888,1939
McDonnell,Alexander,Alexander McDonnell,Ireland,1798,1835
Fischer,Robert James,Robert James Fischer,"US,Iceland",1943,2008
Breyer,Gyula,Gyula Breyer,Hungary,1893,1921
Rohde,Michael,Michael Rohde,US,1959,
Kagan,Shimon,Shimon Kagan,Israel,1942,
Reinfeld,Fred,Fred Reinfeld,US,1910,1964
Piazzini,Luis,Luis Piazzini,Argentina,1905,1980
Houska,Jovanka,Jovanka Houska,England,1980,
Bortnyk,Olexandr,Olexandr Bortnyk,Ukraine,1996,
Vescovi,Giovanni,Giovanni Vescovi,Brazil,1978,
Zinner,Emil,Emil Zinner,Czechoslovakia,1909,1942
David,Alberto,Alberto David,Luxembourg,1970,
Kling,Josef,Josef Kling,Germany,1811,1876
Renaud,Georges,Georges Renaud,France,1893,1975
Polgar,Zsofia,Zsofia Polgar,"Hungary,Israel",1974,
Botterill,George,George Botterill,"England,Wales",1949,
Marache,Napoleon,Napoleon Marache,"France,US",1818,1875
Gelashvili,Tamaz,Tamaz Gelashvili,Georgia,1978,
Dworakowska,Joanna,Joanna Dworakowska,Poland,1978,
Shipov,Sergei,Sergei Shipov,Russia,1966,
Napolitano,Mario,Mario Napolitano,Italy,1910,1995
Naranja,Renato,Renato Naranja,Philippines,1940,
Koltanowski,Georges,Georges Koltanowski,"Belgium,US",1903,2000
Arngrímsson,Dagur,Dagur Arngrímsson,Iceland,1987,
Nenarokov,Vladimir,Vladimir Nenarokov,Russia,1880,1953
Korchnoi,Viktor,Viktor Korchnoi,"Russia,Switzerland",1931,2016
Machate,Gottlieb,Gottlieb Machate,Germany,1904,1974
Gasik,Anna,Anna Gasik,Poland,1988,
Bigelow,Horace,Horace Bigelow,US,1898,1980
Bernstein,Jacob,Jacob Bernstein,US,?,1958
Šulskis,Šarūnas,Šarūnas Šulskis,Lithuania,1972,
Akopian,Vladimir,Vladimir Akopian,Armenia,1971,
Gagunashvili,Merab,Merab Gagunashvili,Georgia,1985,
Loman,Rudolf,Rudolf Loman,Netherlands,1861,1932
Hoek,Arnold van den,Arnold van den Hoek,Netherlands,1921,1945
Luckis,Markas,Markas Luckis,"Lithuania,Argentina",1905,1973
Moeller,Jorgen,Jorgen Moeller,Denmark,1873,1944
Milov,Vadim,Vadim Milov,"Russia,Israel,Switzerland",1972,
Geller,Efim,Efim Geller,Ukraine,1925,1998
Chalupetzky,Ferenc,Ferenc Chalupetzky,Hungary,1886,1951
Verlinsky,Boris,Boris Verlinsky,"Ukraine,Russia",1888,1950
Foltys,Jan,Jan Foltys,Czechoslovakia,1908,1952
Morovic,Iván,Iván Morovic,Chile,1963,
Fleissig,Max,Max Fleissig,"Hungary,Austria",1845,after 1882
Morrison,John,John Morrison,Canada,1889,1975
Ghasi,Ameet,Ameet Ghasi,England,1987,
Kubbel,Arvid,Arvid Kubbel,Russia,1889,1938
Rousseau,Eugéne,Eugéne Rousseau,France,c. 1810,c. 1870
Acers,Jude,Jude Acers,US,1944,
Howell,David,David Howell,England,1990,
Wittek,Alexander,Alexander Wittek,"Croatia,Austria",1852,1894
Rosen,Leon,Leon Rosen,"Poland,US",1869,1942
Ivanov,Igor,Igor Ivanov,"Russia,Canada,US",1947,2005
Chekhover,Vitaly,Vitaly Chekhover,Russia,1908,1965
Chuchelov,Vladimir,Vladimir Chuchelov,"Russia,Belgium",1969,
