Last name,First name,Full name,Countries,born,died
Blake,Joseph Henry,Joseph Henry Blake,England,1859,1951
Caoili,Arianne,Arianne Caoili,Australia,1986,2020
Hebert,Jean,Jean Hebert,Canada,1957,
Gashimov,Vugar,Vugar Gashimov,Azerbaijan,1986,2014
Serper,Gregory,Gregory Serper,"Uzbekistan,US",1969,
Judd,Max,Max Judd,"Poland,US",1851,1906
Smyslov,Vasily Osipovich,Vasily Osipovich Smyslov,Russia,1881,1943
Green,Ewen McGowen,Ewen McGowen Green,New Zealand,1950,
Lobron,Eric,Eric Lobron,"US,Germany",1960,
Erdélyi,Stefan,Stefan Erdélyi,"Hungary,Romania",1905,1968
Lennep,Norman van,Norman van Lennep,Netherlands,1872,1897
Christiansen,Larry,Larry Christiansen,US,1956,
Liang,Chong,Liang Chong,China,1980,
Rosenkrantz,Karl Wilhelm,Karl Wilhelm Rosenkrantz,"Latvia,Russia",1876,>1928
Finn,Julius,Julius Finn,"Poland,US",1871,1931
Giri,Anish,Anish Giri,Netherlands,1994,
Sadler,Matthew,Matthew Sadler,England,1974,
Shaughnessy,Elizabeth,Elizabeth Shaughnessy,"Ireland,US",1937,
Saunders,Harold,Harold Saunders,England,1875,1950
Mikhalevski,Victor,Victor Mikhalevski,"Belarus,Israel",1972,
Starr,Nava,Nava Starr,"Latvia,Canada",1949,
Geller,Uzi,Uzi Geller,Israel,1931,
Réthy,Pál,Pál Réthy,Hungary,1905,1962
Hossain,Enamul,Enamul Hossain,Bangladesh,1981,
Vuković,Vladimir,Vladimir Vuković,Croatia,1898,1975
Wen,Yang,Wen Yang,China,1988,
Lazarević,Milunka,Milunka Lazarević,Serbia,1932,
Roodzant,Catharina,Catharina Roodzant,Netherlands,1896,1999
Mohr,Stefan,Stefan Mohr,Germany,1967,
Jaenisch,Carl,Carl Jaenisch,"Finland,Russia",1813,1872
Nadanian,Ashot,Ashot Nadanian,Armenia,1972,
Gong,Qianyun,Gong Qianyun,China,1985,
Uhlmann,Wolfgang,Wolfgang Uhlmann,Germany,1935,
Stolberg,Mark,Mark Stolberg,Russia,1922,1943
Salwe,Gersz,Gersz Salwe,Poland,1862,1920
Petrosian,Arshak,Arshak Petrosian,Armenia,1953,
Krasenkow,Michał,Michał Krasenkow,"Russia,Poland",1963,
Filippov,Anton,Anton Filippov,Uzbekistan,1986,
Pfeiffer,Gerhard,Gerhard Pfeiffer,Germany,1923,2000
Barden,Leonard,Leonard Barden,England,1929,
Ye,Jiangchuan,Ye Jiangchuan,China,1960,
Friedel,Frederic,Frederic Friedel,Germany,1945,
Kovchan,Alexander,Alexander Kovchan,Ukraine,1983,
Benini,Clarice,Clarice Benini,Italy,1905,1976
Mamedov,Nidjat,Nidjat Mamedov,Azerbaijan,1985,
Rootare,Vidrik,Vidrik Rootare,Estonia,c. 1900,1985
Garcia,Raimundo,Raimundo Garcia,Argentina,1936,
Watson,John L.,John L. Watson,US,1951,
Rožič,Vesna,Vesna Rožič,Slovenia,1987,2013
Lie,Espen,Espen Lie,Norway,1984,
Krüger,Paul,Paul Krüger,Germany,1871,1939
Henley,Ron,Ron Henley,US,1956,
Schönmann,Wilhelm,Wilhelm Schönmann,Germany,1889,1970
Ciocâltea,Victor,Victor Ciocâltea,Romania,1932,1983
Haslinger,Stewart,Stewart Haslinger,England,1981,
Heilpern,Jakub,Jakub Heilpern,Poland,1850,1910
Hamid,Rani,Rani Hamid,Bangladesh,1944,
Nickoloff,Bryon,Bryon Nickoloff,Canada,1956,2004
Hodgson,Julian,Julian Hodgson,England,1963,
Berger,Johann,Johann Berger,Austria,1845,1933
Nielsen,Bjørn,Bjørn Nielsen,Denmark,1907,1949
Baburin,Alexander,Alexander Baburin,"Russia,Ireland",1967,
Ramesh,Ramachandran,Ramachandran Ramesh,India,1976,
Lolli,Giambattista,Giambattista Lolli,Italy,1698,1769
Hoffer,Leopold,Leopold Hoffer,"Hungary,France,England",1842,1913
Bródy,Miklós,Miklós Bródy,"Hungary,Romania",1877,1949
Tan,Lian Ann,Lian Ann Tan,Singapore,1947,
Palau,Luis,Luis Palau,Argentina,1897,1971
Konstantinopolsky,Alexander,Alexander Konstantinopolsky,Ukraine,1910,1990
Pähtz,Elisabeth,Elisabeth Pähtz,Germany,1985,
Mendheim,Julius,Julius Mendheim,Germany,1788,1836
Chernev,Irving,Irving Chernev,"Russia,US",1900,1981
Gudju,Ion,Ion Gudju,Romania,1897,1988
Schorn,Karl,Karl Schorn,Germany,1803,1850
O'Hanlon,John,John O'Hanlon,Ireland,1876,1960
Gallagher,Joseph,Joseph Gallagher,"England,Switzerland",1964,
Pelts,Roman,Roman Pelts,"Ukraine,Canada",1937,
Bolbochán,Julio,Julio Bolbochán,Argentina,1920,1996
Leonard,James A.,James A. Leonard,US,1841,1862
Nikolaevsky,Yuri,Yuri Nikolaevsky,Ukraine,1937,
Atalık,Suat,Suat Atalık,Turkey,1964,
Kozul,Zdenko,Zdenko Kozul,Croatia,1966,
Grivas,Efstratios,Efstratios Grivas,Greece,1966,
Harika,Dronavalli,Dronavalli Harika,India,1991,
Walbrodt,Carl August,Carl August Walbrodt,"Netherlands,Germany",1871,1902
Norman-Hansen,Holger,Holger Norman-Hansen,Denmark,1899,1984
Blocker,Calvin,Calvin Blocker,US,1955,
Gurgenidze,Bukhuti,Bukhuti Gurgenidze,Georgia,1933,2008
Fritz,Alexander,Alexander Fritz,Germany,1857,1932
Lipnitsky,Isaac,Isaac Lipnitsky,Ukraine,1923,1959
Olson,Anton,Anton Olson,Sweden,1881,>1928
Jasnogrodsky,Nicolai,Nicolai Jasnogrodsky,"Ukraine,England,US",1859,1914
Iliesco,Juan,Juan Iliesco,"Romania,Argentina",1898,1968
Stefansson,Hannes,Hannes Stefansson,Iceland,1972,
Opočensky,Karel,Karel Opočensky,Czechoslovakia,1892,1975
Zhukova,Natalia,Natalia Zhukova,Ukraine,1979,
Nezhmetdinov,Rashid,Rashid Nezhmetdinov,Russia,1912,1974
Andreikin,Dmitry,Dmitry Andreikin,Russia,1990,
Toshev,Yury,Yury Toshev,Bulgaria,1907,1974
Smeets,Jan,Jan Smeets,Netherlands,1985,
Nimzowitsch,Aron,Aron Nimzowitsch,"Latvia,Denmark",1886,1935
Collins,John W.,John W. Collins,US,1912,2001
Donev,Ivo,Ivo Donev,Austria,1959,
Kotronias,Vasilios,Vasilios Kotronias,Greece,1964,
German,Eugenio,Eugenio German,Brazil,1930,2001
Burille,Constant Ferdinand,Constant Ferdinand Burille,"France,US",1866,1914
Berg,Emanuel,Emanuel Berg,Sweden,1981,
Blackburne,Joseph Henry,Joseph Henry Blackburne,England,1841,1924
Wu,Mingqian,Wu Mingqian,China,1961,
Cohn,Wilhelm,Wilhelm Cohn,Germany,1859,1913
Epishin,Vladimir,Vladimir Epishin,Russia,1965,
Kurnosov,Igor,Igor Kurnosov,Russia,1985,2013
Wyvill,Marmaduke,Marmaduke Wyvill,England,1814,1896
Rudakovsky,Iosif,Iosif Rudakovsky,Ukraine,1914,1947
Khenkin,Igor,Igor Khenkin,"Russia,Germany",1968,
Agzamov,Georgy,Georgy Agzamov,Uzbekistan,1954,1986
Poulsen,Christian,Christian Poulsen,Denmark,1912,1981
Plaskett,James,James Plaskett,"England,Spain",1960,
Ulibin,Mikhail,Mikhail Ulibin,Russia,1971,
Tsvetkov,Alexander,Alexander Tsvetkov,Bulgaria,1914,1990
Ioseliani,Nana,Nana Ioseliani,Georgia,1962,
Quinteros,Miguel,Miguel Quinteros,Argentina,1947,
Whitaker,Norman Tweed,Norman Tweed Whitaker,US,1890,1975
Dembo,Yelena,Yelena Dembo,"Russia,Israel,Hungary,Greece",1983,
Gulko,Boris,Boris Gulko,"Russia,US",1947,
Parma,Bruno,Bruno Parma,Slovenia,1941,
Barbero,Gerardo,Gerardo Barbero,"Argentina,Hungary",1961,2001
Seitz,Adolf,Adolf Seitz,"Germany,Argentina",1898,1970
Wayte,William,William Wayte,England,1829,1898
Gold,Samuel,Samuel Gold,"Hungary,Austria,US",1835,1920
Ujtelky,Maximilian,Maximilian Ujtelky,Hungary/Slovakia,1915,1979
Lundholm,Stig,Stig Lundholm,Sweden,1917,2009
Sorin,Ariel,Ariel Sorin,Argentina,1967,
Vitolinš,Alvis,Alvis Vitolinš,Latvia,1946,1997
Chandler,Murray,Murray Chandler,"New Zealand,England",1960,
Eade,James,James Eade,US,1957,
Rozentalis,Eduardas,Eduardas Rozentalis,Lithuania,1963,
Yuanyuan,Xu,Xu Yuanyuan,China,1981,
Treybal,František,František Treybal,Czechoslovakia,1882,1942
Rödl,Ludwig,Ludwig Rödl,Germany,1907,1970
Sakaev,Konstantin,Konstantin Sakaev,Russia,1974,
Michel,Paul,Paul Michel,"Germany,Argentina",1905,1977
Solak,Dragan,Dragan Solak,Serbia,1980,
Goodman,David S.,David S. Goodman,"England,US",1958,
Schwartzmann,Leon,Leon Schwartzmann,"Poland,France",1887,1942
Riemsdijk,Herman Claudius van,Herman Claudius van Riemsdijk,"Netherlands,Brazil",1948,
Li,Chao,Li Chao,China,1989,
Jauregui,Carlos,Carlos Jauregui,"Chile,Canada",1932,2013
Peng,Zhaoqin,Peng Zhaoqin,China,1978,
Schwartzmann,Paulette,Paulette Schwartzmann,"Latvia,France,Argentina",1910,
Loyd,Sam,Sam Loyd,US,1841,1911
Torriente,Manuel Golmayo,Manuel Golmayo Torriente,"Cuba,Spain",1883,1973
Hübner,Robert,Robert Hübner,Germany,1948,
Spasov,Vasil,Vasil Spasov,Bulgaria,1971,
Stanley,Charles,Charles Stanley,"England,US",1819,1901
Paulsen,Wilfried,Wilfried Paulsen,Germany,1828,1901
Kashdan,Isaac,Isaac Kashdan,US,1905,1985
Topalov,Veselin,Veselin Topalov,Bulgaria,1975,
Butnorius,Algimantas,Algimantas Butnorius,Lithuania,1946,
Petkevich,Jusefs,Jusefs Petkevich,Latvia,1940,
Gyles,Alfred William,Alfred William Gyles,New Zealand,1888,1967
Gormally,Danny,Danny Gormally,England,1976,
Englisch,Berthold,Berthold Englisch,Austria,1851,1897
Sarfati,Jonathan,Jonathan Sarfati,"Australia,New Zealand",1964,
Perrin,Frederic,Frederic Perrin,"England,US",1815,1889
Mross,Paul,Paul Mross,"Poland,Germany",1910,1991
Ragozin,Viacheslav,Viacheslav Ragozin,Russia,1908,1962
Hector,Jonny,Jonny Hector,Sweden,1964,
Sunye Neto,Jaime,Jaime Sunye Neto,Brazil,1957,
Stamma,Phillip,Phillip Stamma,"Syria,England,France",1705,1755
Colman,Eugene Ernest,Eugene Ernest Colman,England,1878,1964
Dzagnidze,Nana,Nana Dzagnidze,Georgia,1987,
Sanakoev,Grigory,Grigory Sanakoev,Russia,1935,
Holzhausen,Walther von,Walther von Holzhausen,"Austria,Germany",1876,1935
Tylor,Theodore,Theodore Tylor,England,1900,1968
Degrande,Marigje,Marigje Degrande,Belgium,1992,
Pourkashiyan,Atousa,Atousa Pourkashiyan,Iran,1988,
Dvoirys,Semen,Semen Dvoirys,Russia,1958,
Steiner,Lajos,Lajos Steiner,"Hungary,Australia",1903,1975
Zheliandinov,Viktor,Viktor Zheliandinov,Ukraine,1935,
Delchev,Aleksander,Aleksander Delchev,Bulgaria,1971,
Tan,Chengxuan,Tan Chengxuan,China,1963,
Prins,Lodewijk,Lodewijk Prins,Netherlands,1913,1999
Napier,William,William Napier,"England,US",1881,1952
Mednis,Edmar,Edmar Mednis,"Latvia,US",1937,2002
Teichmann,Richard,Richard Teichmann,Germany,1868,1925
Fierro,Martha,Martha Fierro,Ecuador,1977,
Mirzoev,Azer,Azer Mirzoev,Azerbaijan,1978,
Padevsky,Nikola,Nikola Padevsky,Bulgaria,1933,
Krush,Irina,Irina Krush,"Ukraine,US",1983,
Roepstorff,Hans,Hans Roepstorff,Germany,1910,1945
Vijayalakshmi,Subbaraman,Subbaraman Vijayalakshmi,India,1979,
Paloheimo,Eero,Eero Paloheimo,Finland,1936,
Parr,Frank,Frank Parr,England,1918,2003
Eljaschoff,Moissei,Moissei Eljaschoff,Lithuania,1870,1919
Adorján,András,András Adorján,Hungary,1950,
Rubinetti,Jorge,Jorge Rubinetti,Argentina,1945,
Barsov,Alexei,Alexei Barsov,Uzbekistan,1966,
Littlewood,John,John Littlewood,England,1931,2009
Gereben,Ernő,Ernő Gereben,"Hungary,Switzerland",1907,1988
Marin,Mihail,Mihail Marin,Romania,1965,
Speelman,Jon,Jon Speelman,England,1956,
Monticelli,Mario,Mario Monticelli,Italy,1902,1995
Nikolaidis,Ioannis,Ioannis Nikolaidis,Greece,1971,
Wolf-Kalmar,Paula,Paula Wolf-Kalmar,Austria,1881,1931
Mádl,Ildikó,Ildikó Mádl,Hungary,1969,
Goloshchapov,Alexander,Alexander Goloshchapov,Ukraine,1978,
Divinsky,Nathan,Nathan Divinsky,Canada,1925,2012
Lamprecht,Frank,Frank Lamprecht,Germany,1968,
Paulsen,Louis,Louis Paulsen,Germany,1833,1891
Turco,Stefano Rosselli del,Stefano Rosselli del Turco,Italy,1877,1947
Letelier,René,René Letelier,Chile,1915,2006
Hirschel,Moses,Moses Hirschel,Germany,1754,c. 1823
Pupols,Viktors,Viktors Pupols,"Latvia,US",1935,
Speijer,Abraham,Abraham Speijer,Netherlands,1873,1956
Chaudé de Silans,Chantal,Chantal Chaudé de Silans,France,1919,2001
Bloodgood,Claude,Claude Bloodgood,US,1937,2001
Potuček,Ludovit,Ludovit Potuček,Slovakia,<1921,
Bernstein,Sidney Norman,Sidney Norman Bernstein,US,1911,1992
Anderssen,Adolf,Adolf Anderssen,Germany,1818,1879
Berger,Victor,Victor Berger,"Ukraine,England",1904,1996
Duhm,Dietrich,Dietrich Duhm,"Germany,Switzerland",1880,1954
Werle,Jan,Jan Werle,Netherlands,1984,
Engels,Ludwig,Ludwig Engels,"Germany,Brazil",1905,1967
Menchik,Vera,Vera Menchik,"Russia,Czechoslovakia,England",1906,1944
Fuderer,Andrija,Andrija Fuderer,"Vojvodina,Belgium",1931,2011
Barda,Olaf,Olaf Barda,Norway,1909,1971
Gilbert,Jessie,Jessie Gilbert,England,1987,2006
Torre,Eugenio,Eugenio Torre,Philippines,1951,
Kapengut,Albert,Albert Kapengut,"Belarus,US",1944,
Dorfman,Iossif,Iossif Dorfman,"Ukraine,France",1952,
Müller,Karsten,Karsten Müller,Germany,1970,
Forintos,Győző,Győző Forintos,Hungary,1935,2018
Dubov,Daniil,Daniil Dubov,Russia,1996,
Sulik,Franciszek,Franciszek Sulik,"Poland,Argentina,Australia",1908,2000
Golod,Vitali,Vitali Golod,"Ukraine,Israel",1971,
Fine,Reuben,Reuben Fine,US,1914,1993
Ju,Wenjun,Ju Wenjun,China,1991,
Rinder,Friedl,Friedl Rinder,Germany,1905,2001
Rogoff,Kenneth,Kenneth Rogoff,US,1953,
Bern,Ivar,Ivar Bern,Norway,1967,
Santasiere,Anthony,Anthony Santasiere,US,1904,1977
Lowtzky,Moishe,Moishe Lowtzky,"Ukraine,Poland",1881,1940
Agdestein,Simen,Simen Agdestein,Norway,1967,
Palme,Rudolf,Rudolf Palme,Austria,1910,2005
Hartston,William,William Hartston,England,1947,
Zhang,Weida,Zhang Weida,China,1949,
Perlis,Julius,Julius Perlis,"Poland,Austria",1880,1913
Chiburdanidze,Maia,Maia Chiburdanidze,Georgia,1961,
Vasiukov,Evgeni,Evgeni Vasiukov,Russia,1933,2018
Berger,Bela,Bela Berger,"Hungary,Australia",1931,2005
Maróczy,Géza,Géza Maróczy,Hungary,1870,1951
Reilly,Brian,Brian Reilly,"France,England,Ireland",1901,1991
Grau,Roberto,Roberto Grau,Argentina,1900,1944
Kremer,Leon,Leon Kremer,Poland,1901,1941
Riazantsev,Alexander,Alexander Riazantsev,Russia,1985,
Furman,Semyon,Semyon Furman,Russia,1920,1978
Wolf,Heinrich,Heinrich Wolf,Austria,1875,1943
Hodges,Albert,Albert Hodges,US,1861,1944
Genov,Petar,Petar Genov,Bulgaria,1970,
Jacobson,Ernst,Ernst Jacobson,Sweden,?,?
Szapiro,Gedali,Gedali Szapiro,"Poland,Israel",1929,
Sosonko,Genna,Genna Sosonko,"Russia,Netherlands",1943,
Evensohn,Alexander,Alexander Evensohn,Ukraine,1892,1919
Nickel,Arno,Arno Nickel,Germany,1952,
Sze,Rudolph,Rudolph Sze,"China,US",c. 1890,1938
Gaprindashvili,Nona,Nona Gaprindashvili,Georgia,1941,
Balogh,János,János Balogh,"Romania,Hungary",1892,1980
Mohiliver,Ariah,Ariah Mohiliver,"Poland,Israel",1904,
Schmid,Carl Friedrich,Carl Friedrich Schmid,Latvia,1840,1897
Klaus,Georg,Georg Klaus,Germany,1912,1974
Shen,Yang,Shen Yang,China,1989,
Assaubayeva,Bibisara,Bibisara Assaubayeva,"Kazakhstan,Russia",2004,
Sakharov,Yuri,Yuri Sakharov,Ukraine,1922,1981
Summerscale,Aaron,Aaron Summerscale,England,1969,
Kogan,Boris,Boris Kogan,"Russia,US",1940,1993
Anderson,Hope Arthurine,Hope Arthurine Anderson,Jamaica,1950,2016
Factor,Samuel,Samuel Factor,"Poland,US",1883,1949
Hou,Yifan,Hou Yifan,China,1994,
Kotsur,Pavel,Pavel Kotsur,Kazakhstan,1974,
Levenfish,Grigory,Grigory Levenfish,"Poland,Russia",1889,1961
Kapš,Darja,Darja Kapš,Slovenia,1981,
Aaron,Manuel,Manuel Aaron,India,1935,
Möller,Baldur,Baldur Möller,Iceland,<1921,
Baumbach,Friedrich,Friedrich Baumbach,Germany,1935,
Yakovich,Yuri,Yuri Yakovich,Russia,1962,
Pleci,Isaias,Isaias Pleci,Argentina,1907,1979
Colle,Edgard,Edgard Colle,Belgium,1897,1932
Gelfand,Boris,Boris Gelfand,"Belarus,Israel",1968,
Brinckmann,Alfred,Alfred Brinckmann,Germany,1891,1967
Kovačević,Vlatko,Vlatko Kovačević,Croatia,1942,
Stock,Lara,Lara Stock,Croatia,1992,
Noa,Josef,Josef Noa,Hungary,1856,1903
Westerinen,Heikki,Heikki Westerinen,Finland,1944,
Bagaturov,Giorgi,Giorgi Bagaturov,Georgia,1964,
Danailov,Silvio,Silvio Danailov,Bulgaria,1961,
Thipsay,Praveen,Praveen Thipsay,India,1959,
Palciauskas,Victor,Victor Palciauskas,"Lithuania,US",1941,
Fenoglio,Virgilio,Virgilio Fenoglio,Argentina,1902,1990
Reischer,Salome,Salome Reischer,"Austria,Palestine,US",1899,1980
Kunte,Abhijit,Abhijit Kunte,India,1977,
Sergeant,Philip Walsingham,Philip Walsingham Sergeant,England,1872,1952
Burn,Amos,Amos Burn,England,1848,1925
Ning,Chunhong,Ning Chunhong,China,1968,
Peters,John,John Peters,US,1951,
Bobotsov,Milko,Milko Bobotsov,Bulgaria,1931,2000
Åkesson,Ralf,Ralf Åkesson,Sweden,1961,
Kaila,Osmo,Osmo Kaila,Finland,1916,1991
Aitken,James Macrae,James Macrae Aitken,Scotland,1908,1983
Grynfeld,Izaak,Izaak Grynfeld,"Poland,Israel",1920,
Nogueiras,Jesus,Jesus Nogueiras,Cuba,1959,
Tsai,Cindy,Cindy Tsai,US,1985,
Mason,James,James Mason,"Ireland,US,England",1849,1905
Ermenkov,Evgenij,Evgenij Ermenkov,"Bulgaria,Palestine",1949,
Mališauskas,Vidmantas,Vidmantas Mališauskas,Lithuania,1963,
Zambrana,Oswaldo,Oswaldo Zambrana,Bolivia,1981,
Matulović,Milan,Milan Matulović,Serbia,1935,2013
Price,Edith Charlotte,Edith Charlotte Price,England,1872,1952
Xu,Jun,Xu Jun,China,1962,
Zobel,Leo,Leo Zobel,Slovakia,1895,1962
Moradi,Elshan,Elshan Moradi,Iran,1985,
Nyback,Tomi,Tomi Nyback,Finland,1985,
Kennedy,Hugh Alexander,Hugh Alexander Kennedy,"Ireland,England",1809,1878
Pintér,József,József Pintér,Hungary,1953,
Khismatullin,Denis,Denis Khismatullin,Russia,1984,
Mammadov,Rauf,Rauf Mammadov,Azerbaijan,1988,
Feinmesser,Rafał,Rafał Feinmesser,Poland,<1906,
Gygli,Fritz,Fritz Gygli,Switzerland,1896,1980
West,Guy,Guy West,Australia,1958,
Franco,Zenon,Zenon Franco,Paraguay,1956,
Øgaard,Leif,Leif Øgaard,Norway,1952,
Abrahams,Gerald,Gerald Abrahams,England,1907,1980
Muñoz,César,César Muñoz,Ecuador,1929,2000
Erskine,John Angus,John Angus Erskine,"New Zealand,Australia",1873,1960
Izbinsky,Stefan,Stefan Izbinsky,Ukraine,1884,1912
Winter,William,William Winter,England,1898,1955
Rabinovich,Ilya,Ilya Rabinovich,Russia,1891,1942
Keidanski,Hermann,Hermann Keidanski,"Poland,Germany",1865,1938
Kleczyński,Jan,Jan Kleczyński Sr.,Poland,1837,1895
Lazard,Gustave,Gustave Lazard,France,1876,1949
Rudge,Mary,Mary Rudge,England,1842,1919
Efimenko,Zahar,Zahar Efimenko,Ukraine,1985,
Spassky,Boris,Boris Spassky,"Russia,France",1937,
Nürnberg,Friedrich,Friedrich Nürnberg,Germany,1909,1984
Rabar,Braslav,Braslav Rabar,Croatia,1919,1973
Benjamin,Joel,Joel Benjamin,US,1964,
Bron,Vladimir,Vladimir Bron,Ukraine,1909,1985
Short,Nigel,Nigel Short,England,1965,
Pillsbury,Harry Nelson,Harry Nelson Pillsbury,US,1872,1906
Cenni,Giovanni,Giovanni Cenni,Italy,1881,1957
Asrian,Karen,Karen Asrian,Armenia,1980,2008
Persitz,Raaphi,Raaphi Persitz,"England,Israel,Switzerland",1934,
Rozental,Solomon,Solomon Rozental,"Lithuania,Belarus,Russia",1890,1955
Karff,Mona May,Mona May Karff,"Moldova,Russia,Palestine,US",1914,1998
Alexander,Hugh,Hugh Alexander,England,1899,1974
Krause,Orla Hermann,Orla Hermann Krause,Denmark,1867,1935
Ramírez,Alejandro,Alejandro Ramírez,Costa Rica,1988,
Junge,Klaus,Klaus Junge,"Chile,Germany",1924,1945
Shumov,Ilya,Ilya Shumov,Russia,1819,1881
Simonson,Albert,Albert Simonson,US,1914,1965
Levy,David,David Levy,Scotland,1945,
Segovia,Fernando Visier,Fernando Visier Segovia,Spain,1943,
Turov,Maxim,Maxim Turov,Russia,1979,
Andersson,Ulf,Ulf Andersson,Sweden,1951,
Steiner,Herman,Herman Steiner,"Slovakia/Hungary,US",1905,1955
Landa,Konstantin,Konstantin Landa,Russia,1972,
Oren,Menachem,Menachem Oren,"Poland,Israel",1901,1962
Platz,Joseph,Joseph Platz,"Germany,US",1905,1981
Bertok,Mario,Mario Bertok,Croatia,1929,2008
Kravtsiv,Martyn,Martyn Kravtsiv,Ukraine,1990,
Donaldson,John W.,John W. Donaldson,US,1958,
Fox,Maurice,Maurice Fox,"Ukraine,Canada",1898,1988
Szabados,Eugenio,Eugenio Szabados,"Hungary,Italy",1898,1974
Mora,María Teresa,María Teresa Mora,Cuba,1902,1980
Menchik,Olga,Olga Menchik,"Russia,Czechoslovakia,England",1908,1944
Furtado,Ivana Maria,Ivana Maria Furtado,India,1999,
Bernstein,Ossip,Ossip Bernstein,"Ukraine,France",1882,1962
Staunton,Howard,Howard Staunton,England,1810,1874
Fagan,Louisa Matilda,Louisa Matilda Fagan,"Italy,England",1850,1931
Yu,Shaoteng,Yu Shaoteng,China,1979,
Sicre,Félix,Félix Sicre,Cuba,1817,1871
Flear,Glenn,Glenn Flear,England,1959,
Sterk,Károly,Károly Sterk,Hungary,1881,1946
Wiel,John van der,John van der Wiel,Netherlands,1959,
Flores,Rodrigo,Rodrigo Flores,Chile,1913,2007
Persson,Tiger Hillarp,Tiger Hillarp Persson,Sweden,1970,
Liberzon,Vladimir,Vladimir Liberzon,"Russia,Israel",1937,
So,Wesley,Wesley So,Philippines,1993,
Chigorin,Mikhail,Mikhail Chigorin,Russia,1850,1908
Endzelins,Lucijs,Lucijs Endzelins,"Estonia,Latvia,Australia",1909,1981
Unzicker,Wolfgang,Wolfgang Unzicker,Germany,1925,2006
Hawkins,Jonathan,Jonathan Hawkins,England,1983,
Domnitz,Zadok,Zadok Domnitz,Israel,1933,
Odeev,Handszar,Handszar Odeev,Turkmenistan,1972,
Popiel,Ignatz von,Ignatz von Popiel,"Austria-Hungary,Poland",1863,1941
Pert,Nick,Nick Pert,England,1981,
Mashian,Houshang,Houshang Mashian,"Iran,Israel",1938,
Lima,Darcy,Darcy Lima,Brazil,1962,
Mascarinas,Rico,Rico Mascarinas,Philippines,1954,
Tapasztó,László,László Tapasztó,"Hungary,Venezuela,US",1930,
Pitschel,Karl,Karl Pitschel,Austria,1829,1883
Clerc,Albert,Albert Clerc,France,1830,1918
Yusupov,Artur,Artur Yusupov,"Russia,Germany",1960,
Byrne,Robert,Robert Byrne,US,1928,2013
Makogonov,Vladimir,Vladimir Makogonov,Azerbaijan,1904,1993
Sandrin,Albert,Albert Sandrin Jr.,US,1923,2004
Kramer,Adolf,Adolf Kramer,Germany,1871,1934
Alatortsev,Vladimir,Vladimir Alatortsev,Russia,1909,1987
Curdo,John,John Curdo,US,1931,
Ni,Hua,Ni Hua,China,1983,
Naroditsky,Daniel,Daniel Naroditsky,US,1995,
Yepez,Trotzky,Trotzky Yepez,Ecuador,1940,2010
Wang,Puchen,Puchen Wang,"China,New Zealand",1990,
Veresov,Gavriil,Gavriil Veresov,Russia,1912,1979
Huzman,Alexander,Alexander Huzman,"Ukraine,Israel",1962,
Bier,Martin,Martin Bier,Germany,1854,1934
Zhang,Jilin,Zhang Jilin,China,1986,
Sittenfeld,Stanislaus,Stanislaus Sittenfeld,"Poland,France",1865,1902
Zaitsev,Alexander,Alexander Zaitsev,Russia,1935,1971
Smirin,Ilya,Ilya Smirin,"Belarus,Israel",1968,
Lokvenc,Josef,Josef Lokvenc,Austria,1899,1974
Zalkind,Lazar,Lazar Zalkind,Ukraine,1886,1945
Koblencs,Alexander,Alexander Koblencs,Latvia,1916,1993
Thompson,Theophilus,Theophilus Thompson,US,1855,
Berndtsson,Karl,Karl Berndtsson,Sweden,1892,1943
Klein,Paul,Paul Klein,"Germany,Ecuador",1930,
Geshev,Georgy,Georgy Geshev,Bulgaria,1903,1937
Dzhumaev,Marat,Marat Dzhumaev,Uzbekistan,1976,
Ascher,Jacob,Jacob Ascher,"England,Canada",1841,1912
Zawadzka,Beata,Beata Zawadzka,Poland,1986,
Capablanca,José Raúl,José Raúl Capablanca,Cuba,1888,1942
Ivanov,Alexander,Alexander Ivanov,US,1956,
Zhaoqin,Peng,Peng Zhaoqin,China,1968,
Langleben,Salomon,Salomon Langleben,Poland,1862,1939
Mlotkowski,Stasch,Stasch Mlotkowski,US,1881,1943
Feuerstein,Arthur,Arthur Feuerstein,US,1935,
Selezniev,Alexey,Alexey Selezniev,"Russia,France",1888,1967
Delmar,Eugene,Eugene Delmar,US,1841,1909
Gonzales,Jayson,Jayson Gonzales,Philippines,1969,
Kristol,Ljuba,Ljuba Kristol,"Russia,Israel",1944,
Howell,Clarence,Clarence Howell,US,1881,1936
Sadvakasov,Darmen,Darmen Sadvakasov,Kazakhstan,1979,
Zagorovsky,Vladimir,Vladimir Zagorovsky,Russia,1925,1994
Diesen,Mark,Mark Diesen,US,1957,2008
Barász,Zsigmond,Zsigmond Barász,Hungary,1878,1935
Kvicala,Jan,Jan Kvicala,Czechoslovakia,1868,1939
Johansen,Darryl,Darryl Johansen,Australia,1959,
Minasian,Artashes,Artashes Minasian,Armenia,1987,
Scheltinga,Theo van,Theo van Scheltinga,Netherlands,1914,1994
Lin,Ta,Lin Ta,China,1963,
Exner,Győző,Győző Exner,Hungary,1864,1945
Zaitsev,Igor,Igor Zaitsev,Russia,1938,
Avram,Herbert,Herbert Avram,US,1913,2006
Schelfhout,Willem,Willem Schelfhout,Netherlands,1874,1951
Friedman,Henryk,Henryk Friedman,Poland,1903,1942
